_id,name,types
5fd1ec2c75e996283c4a36ac,folded carton,"[{""name"":""Reverse Tuck End"",""subname"":""""},{""name"":""tuck end auto bottom"",""subname"":""(Bottom Pesting)""},{""name"":""tuck end lock bottom"",""subname"":""(lock bottom)""},{""name"":""full flap auto bottom"",""subname"":""""},{""name"":""wine bottle carrier"",""subname"":""""},{""name"":""six corner box"",""subname"":""""},{""name"":""hexagonal box"",""subname"":""""},{""name"":""gable cake/lunch box"",""subname"":""""},{""name"":""cube shape corrier "",""subname"":""""},{""name"":""prism shaped box"",""subname"":""""},{""name"":""hanger box"",""subname"":""(auto lock / lock bottom)""},{""name"":""customized window box"",""subname"":""""},{""name"":""collapsible 4 corner tray and lid"",""subname"":""""},{""name"":""triangular box"",""subname"":""""},{""name"":""seal end box"",""subname"":""""},{""name"":""reverse tuck end lock"",""subname"":""""},{""name"":""top collar box"",""subname"":""""},{""name"":""bottom collar box"",""subname"":""""},{""name"":""collabsible tray and lid"",""subname"":""""}]"
5fd1ec2c75e996283c4a36ad,label & sticker,
5fd1ec2c75e996283c4a36ae,corrugated ,
5fd1ec2c75e996283c4a36af,instruction manual & leaflet,
